epoch,combined,light,medium,strong
0,0.2562,0.2689,0.2706,0.2656
1,0.1884,0.2398,0.2449,0.2444
2,0.1539,0.2006,0.2028,0.1988
3,0.1395,0.1715,0.1694,0.1734
4,0.1349,0.154,0.1583,0.1563
5,0.1193,0.1332,0.1382,0.1415
6,0.1135,0.1238,0.128,0.13
7,0.1087,0.1196,0.1224,0.1226
8,0.1037,0.1133,0.1174,0.1185
9,0.1012,0.1105,0.1132,0.1143
10,0.0999,0.1078,0.1114,0.1191
11,0.0976,0.1052,0.1072,0.1141
12,0.0945,0.1014,0.1055,0.1099
13,0.0909,0.098,0.1019,0.1098
14,0.0891,0.0954,0.0993,0.1073
15,0.0887,0.0947,0.0989,0.1059
16,0.0859,0.0919,0.0957,0.1027
17,0.0855,0.0902,0.0931,0.0984
18,0.0827,0.0879,0.0907,0.0976
19,0.081,0.0871,0.0883,0.0962
20,0.081,0.0847,0.0874,0.0949
21,0.0779,0.0833,0.0863,0.0928
22,0.0767,0.0818,0.0848,0.0905
23,0.0749,0.0795,0.0821,0.09
24,0.0738,0.0785,0.081,0.0887
25,0.075,0.0779,0.0808,0.0876
26,0.0723,0.0758,0.0782,0.0859
27,0.0713,0.0748,0.0774,0.0852
28,0.0697,0.0738,0.0769,0.0844
29,0.0692,0.0729,0.0758,0.0832
30,0.0693,0.0722,0.0751,0.0817
31,0.0682,0.0721,0.0751,0.08
32,0.0671,0.0709,0.0736,0.0797
33,0.0666,0.0694,0.0726,0.0786
34,0.0658,0.069,0.0716,0.0775
35,0.0645,0.0675,0.0698,0.0771
36,0.0641,0.0676,0.0695,0.0757
37,0.0634,0.0663,0.0694,0.0754
38,0.0625,0.0655,0.0681,0.0751
39,0.0619,0.0652,0.0682,0.0742
40,0.0617,0.0642,0.0674,0.0731
41,0.0609,0.0644,0.0662,0.0724
42,0.0597,0.0633,0.0667,0.0714
43,0.0597,0.062,0.0652,0.0719
44,0.0592,0.0619,0.0655,0.0703
45,0.0587,0.0623,0.0645,0.0697
46,0.0581,0.0612,0.0647,0.0699
47,0.0575,0.0609,0.0633,0.0689
48,0.0571,0.0604,0.0626,0.069
49,0.0567,0.0595,0.0628,0.0685
50,0.0565,0.0595,0.0617,0.0688
51,0.0556,0.0612,0.0619,0.0678
52,0.0557,0.0594,0.0608,0.0676
53,0.0559,0.059,0.061,0.0663
54,0.0545,0.0603,0.0599,0.0661
55,0.0546,0.0587,0.0599,0.0659
56,0.0545,0.0594,0.0602,0.0654
57,0.054,0.0589,0.059,0.0664
58,0.055,0.0596,0.0596,0.0652
59,0.0542,0.0605,0.0584,0.064
60,0.0531,0.0599,0.0578,0.0641
61,0.0535,0.06,0.0582,0.0633
62,0.0525,0.0585,0.0584,0.0653
63,0.0524,0.0581,0.0582,0.0644
64,0.0527,0.0578,0.0579,0.0627
65,0.053,0.0587,0.0571,0.0633
66,0.0522,0.059,0.0567,0.0641
67,0.052,0.0589,0.0578,0.0639
68,0.0525,0.0586,0.0576,0.0631
69,0.0531,0.0581,0.0559,0.0625
70,0.0541,0.0584,0.0564,0.0628
71,0.0479,0.0547,0.0518,0.0563
